kOffer,beta,alpha
0.256975802032002,5.25952763558263,0.00763533815567004
0.308796924940457,3.57937173213042,0.00662839610474269
0.410328929660164,2.70818705612939,0.00517680423131945
0.18791204422232,4.95339217463198,0.00900549209268013
0.21352389328101,5.08675295552137,0.0207232440151886
0.201445981446841,3.97901323948046,0.00796444492985432
0.14840202352969,6.53629340229273,0.00296279072856265
0.188021139450289,6.8013334275685,0.00123025511534921
0.160347570060163,3.84452327732271,0.0108191518935026
0.257499287630954,4.01751559533151,0.00868696891419594
0.236519799540086,5.54421922296167,0.00954016039017181
0.229791123125916,2.57145730217574,0.00722004675727319
0.227048585706064,4.2936527780992,0.00370009087452823
0.254069528949945,4.35193124321953,0.0303592354185124
0.213626919834553,5.31122216257388,0.00688759998553234
0.194406131049431,4.8326691432635,0.0034632750042762
0.455554277187669,5.92123994933443,0.00125182104985042
0.231411759419171,9.26203531480821,0.00460167616834776
0.235564630331777,7.15200819478553,0.00304715333981796
0.134077601746331,6.82033068657029,0.00415256239998067
0.133164359807733,12.1070184018193,0.00461234958179523
0.212086340369548,6.01379047474062,0.00633690757724253
0.418921889568501,2.6765271242262,0.00154279746106937
0.165572169848995,6.48860264850618,0.0118091167916904
0.250111793976763,6.06377224299688,0.00361045373750527
0.442457221558724,5.90043315341528,0.00167096177763572
0.122398388334995,4.53400918345595,0.00272030159052918
0.225548787910794,7.40287745502792,0.00428514687052012
0.136560853778124,5.32194509523873,0.00644946748001354
0.366872183339499,5.55249100785006,0.00183692356888869
0.159358830447302,6.65583404952536,0.00319085743654254
0.274928015412514,3.71220257850214,0.0373129469050375
0.222639385592119,2.63611614177153,0.00363193974368733
0.437996644604072,5.77913015737494,0.0014057557739376
0.211418366795546,5.43193660710781,0.0256603733296522
0.216328935686972,5.82391666583372,0.0161591519176476
0.227843203407147,3.93440190344476,0.00373756443938242
0.269683742387362,2.91604919872967,0.0109118406754245
