mvc1,mvc2
4.8040771484375,3.7548828125
5.93841552734375,6.004638671875
4.4732666015625,4.04541015625
3.75640869140625,3.42132568359375
2.9425048828125,0.04669189453125
7.916259765625,7.10205078125
4.91363525390625,3.82415771484375
3.2177734375,2.85888671875
3.7786865234375,3.64959716796875
4.15771484375,4.10736083984375
3.5626220703125,2.75787353515625
2.8668212890625,3.03741455078125
2.43988037109375,2.20550537109375
3.06640625,2.8076171875
4.417724609375,3.81561279296875
3.85223388671875,3.28216552734375
5.362548828125,4.6258544921875
3.25592041015625,3.38470458984375
6.19537353515625,5.9588623046875
3.961181640625,3.8165283203125
2.43408203125,1.6973876953125
5.08331298828125,5.18096923828125
2.3297119140625,1.795654296875
3.35296630859375,3.031005859375
6.8585205078125,6.204833984375
2.83721923828125,2.5537109375
4.92401123046875,5.86029052734375
4.47021484375,5.032958984375
5.62103271484375,4.24835205078125
3.62579345703125,3.2611083984375
2.2857666015625,NaN
3.2073974609375,2.8546142578125
2.96966552734375,2.37823486328125
2.87628173828125,3.44085693359375
1.3787841796875,1.1578369140625
3.7677001953125,2.87841796875
4.4268798828125,3.8641357421875
5.36529541015625,4.86053466796875
3.96697998046875,4.102783203125
7.63275146484375,6.65130615234375
