kOffer,beta,alpha
1.25043825659554,1.0976147835883,0.213822227908739
0.406607686769238,2.17251109400226,0.0252221627613006
0.471192800422827,1.76082894854183,0.226484613997646
1.15582873823095,1.59555089591894,0.329409289158975
0.620558362867188,1.52937224791072,0.0316474794616241
0.509428407210542,1.85942882727076,0.11695816922189
0.757641290482059,1.60841933863342,0.649596338549507
0.555904998893554,1.6299611804408,0.159930234526759
0.771506022985758,1.33770592615319,0.180758049255617
0.618848499253244,0.887465785313659,0.122864766487353
0.967153339774685,2.59978184604328,0.21765460271932
0.903581755418533,1.85558115229068,0.328120697626773
0.539195114810178,3.03541254541876,0.32441394796537
0.549378726070296,2.69260319453806,0.299511602888819
0.471575560945857,2.00845235938442,0.404129782743832
0.50499578807337,1.70355073640499,0.153062732409099
0.739497490520197,1.1289016463747,0.498351273498578
0.569241790229274,1.17988999289199,0.0704239166533185
1.16008123350815,0.942108205817648,0.275335052656795
0.773770232858583,1.81225104965742,0.32790384578482
0.604175534697365,2.0214828162457,0.0291096035669333
0.463025022847452,1.16422379825789,0.225344753819344
1.09352706977378,0.840610051067652,0.355227357115795
0.788000731193716,1.51484901834448,0.150609719389417
0.345586624712588,1.02711230098658,0.217573373033016
1.7163788513226,0.882878523117452,0.074645852316464
1.00847083088323,0.95217172095565,0.280276845257835
0.472736974763203,2.2143190004768,0.0223356547040332
0.578241565510492,1.95008702094661,0.124077705350029
0.831453268613368,0.697525349955313,0.0549703883481145
0.445803293086236,2.52722143292354,0.17664229054928
0.456142565411328,2.13578575250772,0.25496516951483
0.970724888945014,2.41798627316002,0.399828413083448
0.964748631764612,0.902670056597433,0.327996321388972
0.704107374040798,1.2971346699839,0.160689365322148
0.581608354426239,2.16136638628231,0.59007499054316
1.04211755474055,0.557049988230654,0.735239684727106
0.572657420422754,4.00707644027381,0.580578215512709
