kOffer,beta,alpha
1.25115469624752,1.09632220351599,0.229371044812706
0.406172676403,2.12963499946019,0.0293704393392909
0.471051209829339,1.75798262446641,0.235394621449172
1.15596484310745,1.59419784556361,0.330892734280872
0.621449728519252,1.52814292385317,0.0376549301240695
0.510097088883177,1.85346606726918,0.136756588655687
0.757967957535523,1.60759025005249,0.63919494392771
0.556066011869459,1.6288623216152,0.171684279785072
0.771178064304992,1.33659386120336,0.197034412483946
0.618707556797449,0.887259492120273,0.148137794389127
0.966974083110748,2.5842917958633,0.220695208915504
0.903386566205985,1.85176234192,0.330538927240103
0.539453957884283,3.02431245543331,0.327417284537359
0.549551429730606,2.68690851844446,0.304638532217147
0.471614544400928,2.00643121637564,0.403049978490586
0.504922971033183,1.70038995272398,0.175135400141207
0.73951674606634,1.12890009250175,0.49446033927256
0.569629327864878,1.18052977752692,0.0871787728871028
1.16068443742352,0.940579592782089,0.300542554443643
0.773636242880456,1.81083868978141,0.330002218160724
0.605588471848152,2.01850681912905,0.0368699193871609
0.462881640724415,1.16361796476939,0.234718153397383
1.09352234596439,0.840686996183309,0.357118534113013
0.787702545621231,1.51360715189306,0.158038688899393
0.345477272741322,1.02689136256431,0.225165157273011
1.71542152836555,0.883589861464633,0.0958738010976757
1.00857940510498,0.951882467254118,0.286496083040983
0.465810602800362,1.90627941442919,0.835635171872777
0.578962531643093,1.95004721036405,0.161604163429476
0.833378285294756,0.696384624087817,0.0788981564973199
0.445741825392407,2.51779763506637,0.178966020565179
0.456082785278678,2.13111151111377,0.258461277283436
0.970653310906989,2.41258933249815,0.400174450043205
0.964874005875556,0.902505107839427,0.334000182368502
0.703666321622346,1.29660013313023,0.194142195561132
0.581705328920307,2.15686953636385,0.580752696774293
1.04157668809201,0.557465019673617,0.705207004821718
0.572711676223991,3.97305649904431,0.570626403994106
