mvc1,mvc2
3.29071044921875,2.48382568359375
1.84356689453125,1.1737060546875
2.28118896484375,1.82830810546875
2.8680419921875,2.4169921875
4.483642578125,3.92242431640625
3.9593505859375,NaN
4.21478271484375,4.051513671875
3.78173828125,3.7042236328125
3.99749755859375,3.885498046875
2.857666015625,3.26873779296875
3.46466064453125,2.5225830078125
2.96905517578125,2.33795166015625
3.57574462890625,0.0634765625
3.29803466796875,2.97576904296875
2.99072265625,1.9036865234375
2.9803466796875,2.86346435546875
3.409423828125,2.7728271484375
4.30328369140625,4.48944091796875
2.26409912109375,2.31658935546875
6.51275634765625,5.716552734375
2.3834228515625,3.3843994140625
4.0167236328125,3.7615966796875
3.05206298828125,2.24212646484375
3.09478759765625,3.04840087890625
4.91607666015625,3.81622314453125
0.9283447265625,0.79833984375
3.42681884765625,3.3782958984375
5.43060302734375,4.96490478515625
4.10980224609375,4.18243408203125
2.113037109375,1.64398193359375
2.76458740234375,0.55206298828125
2.4700927734375,1.248779296875
4.215087890625,3.70452880859375
5.628662109375,4.73602294921875
2.78533935546875,3.428955078125
5.41778564453125,4.57061767578125
1.512451171875,0.9051513671875
4.4793701171875,4.5697021484375
1.39801025390625,1.7205810546875
5.635986328125,4.67071533203125
5.975341796875,5.3271484375
3.5833740234375,2.09442138671875
3.154296875,2.39013671875
4.19647216796875,3.3612060546875
2.35198974609375,1.8438720703125
2.44171142578125,2.073974609375
3.890380859375,2.8717041015625
2.286376953125,1.82403564453125
2.78228759765625,2.14447021484375
