kOffer,beta,alpha
0.623083501684842,2.18848914740444,0.0268674627734704
0.202788688369684,4.38482812378003,0.0104962634395986
0.240153123858391,3.67373888195422,0.11832180484132
0.598007108772473,3.19552047888031,0.254317735483221
0.310616484850875,3.05328065193174,0.0123781447781594
0.24863420179213,3.9033626017049,0.00514010969950845
0.374669051055756,3.25554927791911,0.358462233333531
0.279904236579577,3.27864986297075,0.0621306313699489
0.389969521752946,2.72515907212769,0.0850762268305189
0.305430285285673,1.78246712885835,0.00311316436936623
0.474211657768388,3.64095545601351,0.17612863122344
0.443801931411901,3.60530098013927,0.198157795373576
0.279849172197274,6.16159786901771,0.14461947500372
0.273330058651333,5.15925181479554,0.0111929766555505
0.24348517509916,3.9090216678287,0.190924925278601
0.244962654624564,3.81783041413516,0.002961348762803
0.366032151722704,2.58324375534213,0.36455251659207
0.287211179284278,2.35513622209888,0.0261120826971216
0.576767128772624,1.95154893570333,0.0292761742016021
0.386361472497634,3.36413865178056,0.00347143053139006
0.301661523396952,4.03224616109794,0.00961270173371085
0.229064362000545,2.41984134355204,0.00369760496017149
0.550547999544846,1.68480510780034,0.219100811116083
0.395935994766438,3.2239944570227,0.0884565383072545
0.170924535860798,1.97817956377951,0.138230764937188
0.879591784986942,1.71352135137453,0.0148300554859176
0.509950769272638,1.94943379806501,0.173659548025633
0.235023006922568,4.51232782090629,0.00638030193897848
0.286595961852313,3.84646380631223,0.021048501911762
0.41539512275916,1.40318722124936,0.0240822434594887
0.225807127525173,3.98007084270961,0.146453882673541
0.233631599800538,4.17866405336833,0.189134333022985
0.483338619108057,4.26183688132204,0.197281394899337
0.479637737282268,1.82232902103349,0.0237680358201566
0.357543706055228,2.63250428878956,0.0450641991151537
0.294429587468349,5.23185039244958,0.292442945644858
0.520450541398111,1.15985791294132,0.402345967626076
0.294132295016239,7.68079215856112,0.164527605700744
