mvc1,mvc2
0.78582763671875,0.56488037109375
1.91253662109375,2.24578857421875
1.1077880859375,3.951416015625
3.1951904296875,3.3319091796875
2.00836181640625,1.923828125
4.46441650390625,3.85833740234375
3.2440185546875,3.1024169921875
3.3001708984375,3.2928466796875
3.84246826171875,3.7347412109375
5.67535400390625,5.10711669921875
2.598876953125,2.14080810546875
3.985595703125,3.4527587890625
2.68402099609375,2.47314453125
5.3375244140625,4.324951171875
0.68603515625,2.3016357421875
2.68341064453125,2.72003173828125
2.5860595703125,3.27880859375
2.445068359375,1.6796875
2.39044189453125,2.1875
5.67718505859375,4.85931396484375
2.7557373046875,3.2916259765625
3.7628173828125,3.05633544921875
3.3172607421875,4.66766357421875
4.38934326171875,3.8055419921875
2.554931640625,2.939453125
3.62152099609375,3.1854248046875
2.38922119140625,2.9632568359375
6.85455322265625,6.207275390625
4.80804443359375,5.5279541015625
3.834228515625,3.95416259765625
3.61907958984375,3.43597412109375
6.1004638671875,5.60546875
6.28875732421875,5.57830810546875
6.67572021484375,6.014404296875
2.6678466796875,1.95831298828125
6.619873046875,4.81903076171875
7.18109130859375,4.32525634765625
2.5091552734375,1.650390625
2.559814453125,3.14208984375
4.32037353515625,4.415283203125
4.67864990234375,4.3511962890625
5.47149658203125,5.05615234375
3.5882568359375,2.8271484375
5.32684326171875,5.4345703125
5.8331298828125,5.6341552734375
3.14788818359375,2.76031494140625
6.43707275390625,6.26129150390625
2.86773681640625,2.85003662109375
2.4859619140625,2.27783203125
3.43048095703125,3.720703125
3.21868896484375,2.7288818359375
7.1405029296875,6.146240234375
6.0455322265625,5.4608154296875
2.2125244140625,2.5128173828125
2.1630859375,1.5118408203125
1.79901123046875,1.53228759765625
2.5140380859375,3.0731201171875
